Model,Mean Scores,Best Params
Lasso,-5.27457863495049,{'lasso__alpha': np.float64(0.802)}
Lasso,-2.7516717652163774,{'lasso__alpha': np.float64(0.01)}
Lasso,-5.631376696563629,{'lasso__alpha': np.float64(1.0)}
Lasso,-3.811087232335826,{'lasso__alpha': np.float64(0.406)}
Lasso,-5.125588865688619,{'lasso__alpha': np.float64(0.7030000000000001)}
Lasso,-4.996205270789881,{'lasso__alpha': np.float64(0.6040000000000001)}
Lasso,-5.443174578575494,{'lasso__alpha': np.float64(0.901)}
Lasso,-4.385377633513925,{'lasso__alpha': np.float64(0.505)}
Lasso,-3.3616189763003717,{'lasso__alpha': np.float64(0.30700000000000005)}
Lasso,-3.0369479247199256,{'lasso__alpha': np.float64(0.20800000000000002)}
Ridge,-2.7394503668823282,{'ridge__alpha': np.float64(0.109)}
Ridge,-2.739446428192424,{'ridge__alpha': np.float64(0.802)}
Ridge,-2.739449220837862,{'ridge__alpha': np.float64(0.30700000000000005)}
Ridge,-2.739450946119617,{'ridge__alpha': np.float64(0.01)}
Ridge,-2.73944534010109,{'ridge__alpha': np.float64(1.0)}
Ridge,-2.7394458820786225,{'ridge__alpha': np.float64(0.901)}
Ridge,-2.73944697844342,{'ridge__alpha': np.float64(0.7030000000000001)}
Ridge,-2.739448091360697,{'ridge__alpha': np.float64(0.505)}
Ridge,-2.739449791788719,{'ridge__alpha': np.float64(0.20800000000000002)}
Ridge,-2.7394486540288305,{'ridge__alpha': np.float64(0.406)}
AdaBoostRegressor,-2.5969772969684017,"{'adaboostregressor__n_estimators': np.int64(800), 'adaboostregressor__learning_rate': np.float64(0.6040000000000001)}"
AdaBoostRegressor,-2.682824688811809,"{'adaboostregressor__n_estimators': np.int64(700), 'adaboostregressor__learning_rate': np.float64(0.802)}"
AdaBoostRegressor,-2.659415165269426,"{'adaboostregressor__n_estimators': np.int64(500), 'adaboostregressor__learning_rate': np.float64(0.505)}"
AdaBoostRegressor,-2.695543712712374,"{'adaboostregressor__n_estimators': np.int64(400), 'adaboostregressor__learning_rate': np.float64(0.20800000000000002)}"
AdaBoostRegressor,-2.6482696272584225,"{'adaboostregressor__n_estimators': np.int64(400), 'adaboostregressor__learning_rate': np.float64(0.30700000000000005)}"
AdaBoostRegressor,-2.5969772969684017,"{'adaboostregressor__n_estimators': np.int64(900), 'adaboostregressor__learning_rate': np.float64(0.6040000000000001)}"
AdaBoostRegressor,-2.740117341311506,"{'adaboostregressor__n_estimators': np.int64(600), 'adaboostregressor__learning_rate': np.float64(0.406)}"
AdaBoostRegressor,-2.5969772969684017,"{'adaboostregressor__n_estimators': np.int64(700), 'adaboostregressor__learning_rate': np.float64(0.6040000000000001)}"
AdaBoostRegressor,-2.9413639426682745,"{'adaboostregressor__n_estimators': np.int64(600), 'adaboostregressor__learning_rate': np.float64(0.01)}"
AdaBoostRegressor,-2.5969772969684017,"{'adaboostregressor__n_estimators': np.int64(300), 'adaboostregressor__learning_rate': np.float64(0.6040000000000001)}"
BaggingRegressor,-4.564787290354329,"{'baggingregressor__n_estimators': np.int64(100), 'baggingregressor__max_samples': np.float64(0.4), 'baggingregressor__max_features': np.float64(0.4)}"
BaggingRegressor,-6.2542176355113455,"{'baggingregressor__n_estimators': np.int64(400), 'baggingregressor__max_samples': np.float64(0.5), 'baggingregressor__max_features': np.float64(0.1)}"
BaggingRegressor,-2.4082273804581935,"{'baggingregressor__n_estimators': np.int64(200), 'baggingregressor__max_samples': np.float64(0.9), 'baggingregressor__max_features': np.float64(0.7000000000000001)}"
BaggingRegressor,-4.988528705008354,"{'baggingregressor__n_estimators': np.int64(100), 'baggingregressor__max_samples': np.float64(0.5), 'baggingregressor__max_features': np.float64(0.30000000000000004)}"
BaggingRegressor,-2.823855496597761,"{'baggingregressor__n_estimators': np.int64(600), 'baggingregressor__max_samples': np.float64(0.8), 'baggingregressor__max_features': np.float64(0.6)}"
