Model,Mean Scores,Best Params
Lasso,0.590229643217962,{'lasso__alpha': np.float64(0.01)}
Lasso,0.18956231945234372,{'lasso__alpha': np.float64(0.901)}
Lasso,0.21466443226690898,{'lasso__alpha': np.float64(0.802)}
Lasso,0.5775205257890996,{'lasso__alpha': np.float64(0.109)}
Lasso,0.49946319301996345,{'lasso__alpha': np.float64(0.30700000000000005)}
Lasso,0.43255744757866443,{'lasso__alpha': np.float64(0.406)}
Lasso,0.16154016203376992,{'lasso__alpha': np.float64(1.0)}
Lasso,0.2368465004774659,{'lasso__alpha': np.float64(0.7030000000000001)}
Lasso,0.5477880202016095,{'lasso__alpha': np.float64(0.20800000000000002)}
Lasso,0.3470670563612239,{'lasso__alpha': np.float64(0.505)}
Ridge,0.5920530884069481,{'ridge__alpha': np.float64(0.802)}
Ridge,0.5920526599909667,{'ridge__alpha': np.float64(0.30700000000000005)}
Ridge,0.5920529188903432,{'ridge__alpha': np.float64(0.6040000000000001)}
Ridge,0.5920531722407705,{'ridge__alpha': np.float64(0.901)}
Ridge,0.5920530039568516,{'ridge__alpha': np.float64(0.7030000000000001)}
Ridge,0.5920527469075387,{'ridge__alpha': np.float64(0.406)}
Ridge,0.5920532554584567,{'ridge__alpha': np.float64(1.0)}
Ridge,0.5920523955389136,{'ridge__alpha': np.float64(0.01)}
Ridge,0.5920528332072849,{'ridge__alpha': np.float64(0.505)}
Ridge,0.5920524843067924,{'ridge__alpha': np.float64(0.109)}
AdaBoostRegressor,0.5921067502922712,"{'adaboostregressor__n_estimators': np.int64(800), 'adaboostregressor__learning_rate': np.float64(0.406)}"
AdaBoostRegressor,0.5985932436413968,"{'adaboostregressor__n_estimators': np.int64(800), 'adaboostregressor__learning_rate': np.float64(0.20800000000000002)}"
AdaBoostRegressor,0.5929332237367259,"{'adaboostregressor__n_estimators': np.int64(100), 'adaboostregressor__learning_rate': np.float64(1.0)}"
